,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
58,DXCM,"DexCom, Inc.",397.65,31.13,8.49,2092000.0,1431000.0,36721000000.0,249.94
59,RGA,"Reinsurance Group of America, Incorporated",94.4,7.12,8.16,313046000000000.0,809540000000000.0,5819000000.0,9.82
60,NCLH,Norwegian Cruise Line Holdings Ltd.,12.02,0.9,8.09,37137000.0,27846000.0,2579000000.0,2.8
61,CBRE,"CBRE Group, Inc.",41.28,3.13,8.2,591326000000000.0,2451000.0,13878000000.0,10.95
62,KLBAY,Klabin S.A.,7.24,0.55,8.22,30000000000000.0,6862000000000.0,3922000000.0,
63,MAKSY,Marks and Spencer Group plc,2.305,0.175,8.22,120156000000000.0,163946000000000.0,2287000000.0,48.02
64,JLL,Jones Lang LaSalle Incorporated,104.33,7.85,8.14,118463000000000.0,561927000000000.0,5387000000.0,10.22
65,MRNA,"Moderna, Inc.",53.53,4.58,9.36,22526000.0,17307000.0,17612000000.0,
66,GPS,"The Gap, Inc.",7.72,0.55,7.67,4629000.0,10651000.0,2877000000.0,8.3
67,MANH,"Manhattan Associates, Inc.",77.33,5.71,7.97,466995000000000.0,837111000000000.0,4910000000.0,57.28
68,NTNX,"Nutanix, Inc.",22.33,1.65,8.0,2565000.0,4143000.0,4348000000.0,
69,RSNAY,RSA Insurance Group plc,4.835,0.355,7.92,72113000000000.0,50325000000000.0,5132000000.0,12.33
70,BNTGY,Brenntag AG,9.29,0.68,7.9,47327000000000.0,94632000000000.0,7287000000.0,15.61
71,TMUS,"T-Mobile US, Inc.",93.42,6.83,7.89,5660000.0,6386000.0,115326000000.0,23.0
72,RE,"Everest Re Group, Ltd.",177.05,12.58,7.65,240197000000000.0,424667000000000.0,8063000000.000001,10.81
73,BILL,"Bill.com Holdings, Inc.",70.79,4.89,7.42,604786000000000.0,878369000000000.0,5120000000.0,
74,ONEM,"1Life Healthcare, Inc.",25.21,1.8,7.69,110130000000000.0,902620000000000.0,3179000000.0,
75,INVH,Invitation Homes Inc.,24.82,1.77,7.68,1874000.0,5015000.0,13496000000.0,77.81
76,CF,"CF Industries Holdings, Inc.",28.18,1.91,7.29,1852000.0,3542000.0,6026000000.0,13.13
77,LSCC,Lattice Semiconductor Corporation,22.97,1.62,7.59,1263000.0,2136000.0,3092000000.0,69.82
78,CRL,"Charles River Laboratories International, Inc.",154.58,10.92,7.6,340194000000000.0,499375000000000.0,7649000000.0,30.49
79,VIE,"Viela Bio, Inc.",43.17,3.2,8.02,72130000000000.0,103627000000000.0,2184000000.0,
80,RNR,RenaissanceRe Holdings Ltd.,152.04,10.67,7.55,283500000000000.0,397306000000000.0,6707000000.0,9.33
81,ALLY,Ally Financial Inc.,15.22,1.05,7.37,2312000.0,7292000.0,5678000000.0,5.58
82,HLF,Herbalife Nutrition Ltd.,36.34,2.54,7.51,773819000000000.0,1703000.0,5003000000.0,16.52
83,WYND,"Wyndham Destinations, Inc.",23.68,1.59,7.2,600099000000000.0,1390000.0,2016000000.0,7.3
84,BKR,Baker Hughes Company,13.9,0.97,7.46,2417000.0,8495000.0,14346000000.0,
85,AFSIA,"AmTrust Financial Services, Inc.",13.75,0.95,7.42,32882000000000.0,5133000000000.0,2718000000.0,14.07
86,IFJPY,Informa plc,11.32,0.78,7.4,21599000000000.0,132191000000000.0,8654000000.0,12.69
87,NGLOY,Anglo American plc,9.07,0.62,7.34,155675000000000.0,519669000000000.0,24762000000.0,6.57
88,HOG,"Harley-Davidson, Inc.",21.0,1.44,7.34,2122000.0,3367000.0,3215000000.0,9.01
89,ZEN,"Zendesk, Inc.",78.71,5.42,7.4,1121000.0,2356000.0,8971000000.0,
90,DVN,Devon Energy Corporation,12.31,0.82,7.14,4356000.0,12250000.0,4712000000.0,
91,PE,"Parsley Energy, Inc.",9.6,0.63,7.02,4898000.0,12128000.0,3962000000.0,
92,DT,"Dynatrace, Inc.",31.93,2.12,7.13,912484000000000.0,2351000.0,8967000000.0,
93,PFG,"Principal Financial Group, Inc.",36.28,2.32,6.83,692699000000000.0,2207000.0,9936000000.0,8.11
94,PRU,"Prudential Financial, Inc.",57.81,3.69,6.82,1604000.0,4030000.0000000005,22766000000.0,7.96
95,UNM,Unum Group,15.18,0.98,6.87,1239000.0,3372000.0,3087000000.0,3.21
96,EQH,"Equitable Holdings, Inc.",17.54,1.14,6.95,1111000.0,4696000.0,7903000000.0,
97,PAA,"Plains All American Pipeline, L.P.",8.29,0.5,6.42,3198000.0,9126000.0,6036000000.0,
98,PSTG,"Pure Storage, Inc.",14.71,0.97,7.06,1659000.0,3963000.0,3928000000.0,
99,CTVA,"Corteva, Inc.",26.75,1.74,6.98,1854000.0,5070000.0,20047000000.0,
